,Library,Plate,Well,Rate,Type,Column,Row
345,lib3,P5,E10,-0.027349679,Sterile,10,E
346,lib3,P5,E11,-0.004243547,Variant,11,E
347,lib3,P5,E12,0.026385104,Variant,12,E
348,lib3,P5,F01,0.038016857,Variant,1,F
349,lib3,P5,F02,0.578572199,Variant,2,F
350,lib3,P5,F03,0.600972571,Variant,3,F
351,lib3,P5,F04,0.030739508,Variant,4,F
352,lib3,P5,F05,0.052548197,Variant,5,F
353,lib3,P5,F06,0.294523028,Variant,6,F
354,lib3,P5,F07,0.23480529,Variant,7,F
355,lib3,P5,F08,-0.011631773,Variant,8,F
356,lib3,P5,F09,0.057680815,Variant,9,F
357,lib3,P5,F10,-0.009878137,Sterile,10,F
358,lib3,P5,F11,0.152589265,Variant,11,F
359,lib3,P5,F12,0.079747947,Variant,12,F
360,lib3,P5,G01,0.048542927,Variant,1,G
361,lib3,P5,G02,0.000532415,Variant,2,G
362,lib3,P5,G03,-0.00833725,Variant,3,G
363,lib3,P5,G04,-0.022563101,Variant,4,G
364,lib3,P5,G05,-0.006290682,Variant,5,G
365,lib3,P5,G06,-0.012701155,Variant,6,G
366,lib3,P5,G07,0.340151155,Variant,7,G
367,lib3,P5,G08,-0.017221722,Variant,8,G
368,lib3,P5,G09,0.266992026,Variant,9,G
369,lib3,P5,G10,2.71E-05,Negative,10,G
370,lib3,P5,G11,0.015298321,Variant,11,G
371,lib3,P5,G12,-0.012078604,Variant,12,G
372,lib3,P5,H01,0.288130993,Variant,1,H
373,lib3,P5,H02,0.010207168,Variant,2,H
374,lib3,P5,H03,0.085610992,Variant,3,H
375,lib3,P5,H04,0.026582401,Variant,4,H
376,lib3,P5,H05,0.211803852,Variant,5,H
377,lib3,P5,H06,0.100151877,Variant,6,H
378,lib3,P5,H07,0.064361404,Variant,7,H
379,lib3,P5,H08,0.524434341,Variant,8,H
380,lib3,P5,H09,0.175499439,Variant,9,H
381,lib3,P5,H10,0.005378867,Negative,10,H
382,lib3,P5,H11,0.031980272,Variant,11,H
383,lib3,P5,H12,0.007082626,Variant,12,H
384,lib3,P3,A01,0.018362119,Variant,1,A
385,lib3,P3,A02,0.023843077,Variant,2,A
386,lib3,P3,A03,0.095854488,Variant,3,A
387,lib3,P3,A04,0.210271748,Variant,4,A
388,lib3,P3,A05,0.006605717,Variant,5,A
389,lib3,P3,A06,0.032029421,Variant,6,A
390,lib3,P3,A07,0.165051725,Variant,7,A
391,lib3,P3,A08,0.678394286,Variant,8,A
392,lib3,P3,A09,0.013466241,Variant,9,A
393,lib3,P3,A10,0.285443019,Parent,10,A
394,lib3,P3,A11,0.005528246,Variant,11,A
395,lib3,P3,A12,0.811879919,Variant,12,A
396,lib3,P3,B01,-0.004427903,Variant,1,B
397,lib3,P3,B02,0.196413303,Variant,2,B
398,lib3,P3,B03,0.13156162,Variant,3,B
399,lib3,P3,B04,0.202100229,Variant,4,B
400,lib3,P3,B05,0.024831404,Variant,5,B
401,lib3,P3,B06,0.35736667,Variant,6,B
402,lib3,P3,B07,0.072500725,Variant,7,B
403,lib3,P3,B08,0.12106003,Variant,8,B
404,lib3,P3,B09,0.829436684,Variant,9,B
405,lib3,P3,B10,0.222181525,Parent,10,B
406,lib3,P3,B11,0.231101572,Variant,11,B
407,lib3,P3,B12,0.32416625,Variant,12,B
408,lib3,P3,C01,0.194067818,Variant,1,C
409,lib3,P3,C02,0.193012336,Variant,2,C
410,lib3,P3,C03,0.011173229,Variant,3,C
411,lib3,P3,C04,0.001831132,Variant,4,C
412,lib3,P3,C05,0.013462502,Variant,5,C
413,lib3,P3,C06,0.013376368,Variant,6,C
414,lib3,P3,C07,0.268836622,Variant,7,C
415,lib3,P3,C08,0.364525057,Variant,8,C
416,lib3,P3,C09,0.150996751,Variant,9,C
417,lib3,P3,C10,0.216256842,Parent,10,C
418,lib3,P3,C11,0.121960158,Variant,11,C
419,lib3,P3,C12,0.033910755,Variant,12,C
420,lib3,P3,D01,0.170056194,Variant,1,D
421,lib3,P3,D02,0.202210104,Variant,2,D
422,lib3,P3,D03,-0.004058726,Variant,3,D
423,lib3,P3,D04,0.038440364,Variant,4,D
424,lib3,P3,D05,0.004517318,Variant,5,D
425,lib3,P3,D06,0.278618622,Variant,6,D
426,lib3,P3,D07,0.171560483,Variant,7,D
427,lib3,P3,D08,0.225010012,Variant,8,D
428,lib3,P3,D09,-0.00059993,Variant,9,D
429,lib3,P3,D10,0.213919092,Parent,10,D
430,lib3,P3,D11,0.62811829,Variant,11,D
431,lib3,P3,D12,0.05174981,Variant,12,D
432,lib3,P3,E01,0.230782573,Variant,1,E
433,lib3,P3,E02,0.005645264,Variant,2,E
434,lib3,P3,E03,-2.62E-05,Variant,3,E
435,lib3,P3,E04,0.090125847,Variant,4,E
436,lib3,P3,E05,-0.002022292,Variant,5,E
437,lib3,P3,E06,0.087272787,Variant,6,E
438,lib3,P3,E07,0.019031252,Variant,7,E
439,lib3,P3,E08,0.144475196,Variant,8,E
440,lib3,P3,E09,0.536991426,Variant,9,E
441,lib3,P3,E10,0.097000156,Sterile,10,E
442,lib3,P3,E11,0.013644117,Variant,11,E
443,lib3,P3,E12,0.504876411,Variant,12,E
444,lib3,P3,F01,0.066408496,Variant,1,F
445,lib3,P3,F02,0.006833011,Variant,2,F
446,lib3,P3,F03,0.014386881,Variant,3,F
447,lib3,P3,F04,0.021946824,Variant,4,F
448,lib3,P3,F05,0.012667346,Variant,5,F
449,lib3,P3,F06,0.121404082,Variant,6,F
450,lib3,P3,F07,0.047054873,Variant,7,F
451,lib3,P3,F08,0.056697909,Variant,8,F
452,lib3,P3,F09,0.248997846,Variant,9,F
453,lib3,P3,F10,0.095997959,Sterile,10,F
454,lib3,P3,F11,0.289167989,Variant,11,F
455,lib3,P3,F12,0.459505787,Variant,12,F
456,lib3,P3,G01,0.570637948,Variant,1,G
457,lib3,P3,G02,0.004615088,Variant,2,G
458,lib3,P3,G03,0.020037273,Variant,3,G
459,lib3,P3,G04,0.142316498,Variant,4,G
460,lib3,P3,G05,0.011585012,Variant,5,G
461,lib3,P3,G06,0.204681787,Variant,6,G
462,lib3,P3,G07,0.15620478,Variant,7,G
463,lib3,P3,G08,0.015939918,Variant,8,G
464,lib3,P3,G09,0.585185416,Variant,9,G
465,lib3,P3,G10,-0.017064079,Negative,10,G
466,lib3,P3,G11,0.514819025,Variant,11,G
467,lib3,P3,G12,-0.010587294,Variant,12,G
468,lib3,P3,H01,0.028854956,Variant,1,H
469,lib3,P3,H02,0.330804562,Variant,2,H
470,lib3,P3,H03,0.037305953,Variant,3,H
471,lib3,P3,H04,0.018231076,Variant,4,H
472,lib3,P3,H05,0.197765025,Variant,5,H
473,lib3,P3,H06,0.068901117,Variant,6,H
474,lib3,P3,H07,0.009024037,Variant,7,H
475,lib3,P3,H08,0.135662885,Variant,8,H
476,lib3,P3,H09,0.015322098,Variant,9,H
477,lib3,P3,H10,-0.013588018,Negative,10,H
478,lib3,P3,H11,0.027483239,Variant,11,H
479,lib3,P3,H12,0.339814933,Variant,12,H
480,lib2,P1,A01,0.07548443,Variant,1,A
481,lib2,P1,A02,0.031900026,Variant,2,A
482,lib2,P1,A03,0.116329851,Variant,3,A
483,lib2,P1,A04,0.22799456,Variant,4,A
484,lib2,P1,A05,0.173606829,Variant,5,A
485,lib2,P1,A06,0.002404788,Variant,6,A
486,lib2,P1,A07,0.003255281,Variant,7,A
487,lib2,P1,A08,0.382748693,Variant,8,A
488,lib2,P1,A09,0.134642236,Variant,9,A
489,lib2,P1,A10,0.157434557,Parent,10,A
490,lib2,P1,A11,0.243402296,Variant,11,A
491,lib2,P1,A12,0.18435254,Variant,12,A
